Section,Category,Low ($),High ($),Notes,Your Estimate
"Cruise trip (per person, 7 nights)","Cruise fare - inside cabin, shoulder season",900,1000,Occasionally lower off-peak,
"Cruise trip (per person, 7 nights)","Cruise fare - balcony, peak July",2500,4000,Luxury/all-inclusive lines run higher,
"Cruise trip (per person, 7 nights)",Flights to departure port,,,Usually the 2nd-biggest line item after the fare - check live,
"Cruise trip (per person, 7 nights)",Pre-cruise hotel night,,,Strongly recommended so a delayed flight doesn't cost you the ship,
"Cruise trip (per person, 7 nights)",Gratuities (per person per day),14,25,~$100-175+ for a 7-night week,
"Cruise trip (per person, 7 nights)",Shore excursions (through the ship),,,Real wild card - can double the trip; see 'Where the money leaks' below,
"Cruise trip (per person, 7 nights)",REALISTIC ALL-IN TOTAL,2500,4000,Flights + hotel night + tips + a few excursions included,
"Road trip (per person, 2 sharing, 7-10 days)",RV rental,190,280,"Per night, before fuel and fees; replaces both hotel and car for 2 people",
"Road trip (per person, 2 sharing, 7-10 days)",Rental car,,,Day rate + Alaska's taxes - rates fluctuate too much for a fixed bracket; check live,
"Road trip (per person, 2 sharing, 7-10 days)",Lodging - economy (per room/night),175,175,Before tax,
"Road trip (per person, 2 sharing, 7-10 days)",Lodging - mid-range (per room/night),275,275,Before tax,
"Road trip (per person, 2 sharing, 7-10 days)",Lodging - luxury (per room/night),360,,And up before tax,
"Road trip (per person, 2 sharing, 7-10 days)",Food - eating out (per person per day),60,60,Less if cooking/camping,
"Road trip (per person, 2 sharing, 7-10 days)",Fuel,,,10-20% above national average price; 8-12 mpg in a motorhome - a real line item not a rounding error,
"Road trip (per person, 2 sharing, 7-10 days)",REALISTIC ALL-IN TOTAL,3500,5500,Less if camping and cooking; more in lodges eating out,
"Hybrid trip (per person, 10-14 days)",REALISTIC ALL-IN TOTAL,6000,9000,"Cruise + road trip minus overlap; land activities (flightseeing, glacier tours, bear viewing) set where you land in the range",
Where the money leaks (excursions),Museum,25,25,,
Where the money leaks (excursions),Half-day guided hike,60,90,,
Where the money leaks (excursions),Day cruise,150,175,,
Where the money leaks (excursions),Flightseeing tour,275,350,,
Where the money leaks (excursions),Fly-in bear viewing / guided fishing / heli-hiking,500,600,Two big-ticket excursions can outweigh a cheap cabin fare,
Where the money leaks (lodges),Remote wilderness lodge deep in the park,1000,,"Per person per night, minimum stays often required",
Where the money leaks (lodges),Town lodging outside the park entrance,,,"A fraction of the in-park rate, same bus access",
Where the money leaks (the checkout total),"Resort fees, port-city hotel taxes, rental taxes, gratuities",,,These live below the headline price - budget the whole checkout total not the fare,
